q,density,realpsi,imagpsi,phase
-7.74,5.418573386133874e-27,-6.140675854195357e-14,4.0592898289036795e-14,-387.0
-7.738,5.588933981037049e-27,-6.616878344079871e-14,3.4794052350965553e-14,-386.90000000000003
-7.736,5.764604616384631e-27,-7.039269657048694e-14,2.8451236984004526e-14,-386.8
-7.734,5.94574934177497e-27,-7.40176520772369e-14,2.161334131382925e-14,-386.7
-7.732,6.132537229073389e-27,-7.69871284926654e-14,1.433594348228313e-14,-386.6
-7.73,6.3251425247342656e-27,-7.92496532737833e-14,6.680941604249629e-15,-386.5
-7.728,6.523744806699446e-27,-8.075949743612417e-14,-1.2838927385491445e-15,-386.4
-7.726,6.728529146007999e-27,-8.147733209546417e-14,-9.485436237382154e-15,-386.3
-7.724,6.93968627325832e-27,-8.137083887477062e-14,-1.7845807745082276e-14,-386.2
-7.722,7.157412750065663e-27,-8.041526636270074e-14,-2.6283030378583704e-14,-386.1
-7.72,7.38191114566504e-27,-7.859392512844684e-14,-3.4711757065425716e-14,-386.0
-7.718,7.613390218810543e-27,-7.589861420450859e-14,-4.304405395226744e-14,-385.9
-7.716,7.852065105130423e-27,-7.232997244249831e-14,-5.119023531492954e-14,-385.8
-7.714,8.098157510098151e-27,-6.789774872498014e-14,-5.905974287259984e-14,-385.70000000000005
-7.712,8.351895907787273e-27,-6.262098567519203e-14,-6.6562061723287e-14,-385.59999999999997
-7.71,8.613515745580679e-27,-5.652811224190143e-14,-7.360766449186981e-14,-385.5
-7.708,8.883259655012699e-27,-4.9656941343223524e-14,-8.010897472473578e-14,-385.40000000000003
-7.706,9.161377668923664e-27,-4.2054569625210694e-14,-8.598134008354354e-14,-385.3
-7.704,9.448127445115612e-27,-3.377717732058108e-14,-9.114400549333804e-14,-385.2
-7.702,9.743774496700913e-27,-2.488972717287332e-14,-9.552107609297984e-14,-385.1
-7.7,1.0048592429344026e-26,-1.546556241258359e-14,-9.904245962518554e-14,-385.0
-7.698,1.0362863185597266e-26,-5.585904825173602e-15,-1.016447777944414e-13,-384.90000000000003
-7.696,1.068687729654363e-26,4.660744974053533e-15,-1.0327223611808967e-13,-384.8
-7.694,1.1020934140961573e-26,1.5179301856159813e-14,-1.0387744190208554e-13,-384.7
-7.692,1.1365342212235019e-26,2.5868880796895338e-14,-1.0342216019089447e-13,-384.6
-7.69,1.1720419393237256e-26,3.6623666431650446e-14,-1.0187799787167226e-13,-384.5
-7.688,1.2086493239424422e-26,4.7333861127703736e-14,-9.922700655652008e-14,-384.4
-7.686,1.2463901270381523e-26,5.788670413494669e-14,-9.546219542192956e-14,-384.3
-7.684,1.28529912700723e-26,6.816755340237912e-14,-9.05879458493573e-14,-384.2
-7.682,1.3254121596047336e-26,7.806102073146576e-14,-8.462032048160186e-14,-384.1
-7.68,1.3667661497877014e-26,8.745215009033574e-14,-7.758726018138807e-14,-384.0
-7.678,1.4093991445081372e-26,9.622762814510506e-14,-6.952866334576522e-14,-383.9
-7.676,1.4533503464837686e-26,1.042770153878913e-13,-6.0496343084778e-14,-383.8
-7.674,1.498660148975313e-26,1.1149398566418035e-13,-5.05538589077894e-14,-383.70000000000005
-7.672,1.5453701716000898e-26,1.1777756143500517e-13,-3.977622076598631e-14,-383.59999999999997
-7.67,1.59352329721239e-26,1.2303333175985498e-13,-2.824946456471982e-14,-383.5
-7.668,1.6431637098823292e-26,1.271746397617929e-13,-1.6070099572855513e-14,-383.40000000000003
-7.666,1.694336934005298e-26,1.301237262428605e-13,-3.344429506818984e-15,-383.3
-7.664,1.7470898745754254e-26,1.3181281616113409e-13,9.812249559877831e-15,-383.2
-7.662,1.801470858657337e-26,1.3218513486390263e-13,2.3276569927402228e-14,-383.1
-7.66,1.8575296780917303e-26,1.3119584129721242e-13,3.691812572753329e-14,-383.0
-7.658,1.915317633470665e-26,1.288128658813655e-13,5.060061183558943e-14,-382.90000000000003
-7.656,1.9748875794203477e-26,1.2501764135437419e-13,6.418305963720137e-14,-382.8
-7.654,2.0362939712295146e-26,1.1980571563904697e-13,7.75211597727418e-14,-382.7
-7.652,2.099592912863554e-26,1.131872366805908e-13,9.046866076850848e-14,-382.6
-7.65,2.164842206404537e-26,1.0518730022553402e-13,1.028788313274832e-13,-382.5
-7.648,2.232101402959357e-26,9.584615266279972e-14,1.1460597300897044e-13,-382.4
-7.646,2.3014318550791055e-26,8.521924231546906e-14,1.255069690892439e-13,-382.3
-7.644,2.3728967707342417e-26,7.337711394809708e-14,1.354428545770887e-13,-382.2
-7.642,2.4465612688910137e-26,6.040514272800638e-14,1.4428039167163123e-13,-382.1
-7.64,2.5224924367361834e-26,4.640310543717212e-14,1.5189363440627958e-13,-382.0
-7.638,2.600759388598624e-26,3.148458836143609e-14,1.581654658315056e-13,-381.9
-7.636,2.681433326617563e-26,1.5776232969546798e-14,1.629890908602972e-13,-381.8
-7.634,2.76458760320854e-26,-5.831777784477875e-16,1.6626946783990175e-13,-381.70000000000005
-7.632,2.850297785379948e-26,-1.74437879034202e-14,1.679246620284822e-13,-381.59999999999997
